,Grade,Age,Gender,Programming,ProgramingExtent,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Test,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean,Int_Mean_1,Val_Mean_1,Exp_Mean_1,DBN_POMP_0,DBN_POMP_17,DBNandNoTest,Int_Mean_1R
84,8,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1.2,7,7,7,7,7,7,1,1.2,7,NA,NA,0,1
85,8,14,Male,1,2,,,NA,NA,NA,NA,NA,0,0,4,4,4,4,4,6,1,3.9,4,4,4,4,5,4,4.2,6,5,7,4,4,5.2,3.9,4.2,5.2,NA,NA,0,3.8
86,8,14,Male,1,2,,,NA,NA,NA,NA,NA,0,0,4,3,7,3,4,3,5,4.1,3,5,6,3,2,7,4.3,3,5,3,4,5,4,4.1,4.3,4,NA,NA,0,3.8
87,8,13,Male,1,2,,,NA,NA,NA,NA,NA,0,0,1,1,1,NA,1,2,1,1.2,3,2,2,4,2,4,2.8,4,3,2,3,4,3.2,1.2,2.8,3.2,NA,NA,0,1.2
88,8,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,1,1,7,1,1,1,2,2,1,1,1,2,1,1,1.2,2,1,1,1,1,1.2,2,1.2,1.2,NA,NA,0,1.2
89,8,13,Female,1,1,,,NA,NA,NA,NA,NA,0,0,2,2,1,1,2,1,1,1.4,4,2,1,2,2,2,2.2,2,1,2,2,1,1.6,1.4,2.2,1.6,NA,NA,0,1.6
90,8,14,Male,1,1,,,NA,NA,NA,NA,NA,0,0,1,1,6,7,1,3,1,2.9,1,1,1,1,1,1,1,1,1,1,1,1,1,2.9,1,1,NA,NA,0,1.4
91,8,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,2,2,1,4,2,2,2,2.1,4,3,3,4,4,3,3.5,4,4,1,3,3,3,2.1,3.5,3,NA,NA,0,2
92,8,14,Female,1,2,,,NA,NA,NA,NA,NA,0,0,1,1,2,2,1,1,1,1.3,4,3,1,1,3,4,2.7,2,1,2,3,2,2,1.3,2.7,2,NA,NA,0,1
93,8,14,Female,1,2,,,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,NA,NA,0,1
94,8,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,3,3,1,2,2,2,2,2.1,5,1,2,1,2,1,2,7,1,2,3,2,3,2.1,2,3,NA,NA,0,2.4
95,8,14,Male,1,1,,,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,7,NA,NA,0,1
96,8,13,Female,1,2,,,NA,NA,NA,NA,NA,0,0,2,2,1,5,2,2,2,2.3,4,2,2,4,5,2,3.2,4,3,4,4,2,3.4,2.3,3.2,3.4,NA,NA,0,2
97,8,13,Female,1,2,,,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1.2,3,2,3,4,2,2.8,1,1.2,2.8,NA,NA,0,1
98,8,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6.5,7,7,7,7,6,6.8,7,6.5,6.8,NA,NA,0,7
99,8,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,4,4,6,6,4,4,3,4.4,5,5,7,7,4,4,5.3,7,7,7,7,7,7,4.4,5.3,7,NA,NA,0,3.8
100,8,13,Male,1,2,,,NA,NA,NA,NA,NA,0,0,5,5,5,5,4,4,1,4.1,4,2,3,2,1,1,2.2,7,7,7,7,7,7,4.1,2.2,7,NA,NA,0,3.8
101,8,14,Male,1,1,,,NA,NA,NA,NA,NA,0,0,4,4,4,4,3,3,2,3.4,1,1,1,1,1,1,7,7,7,7,7,7,7,3.4,7,7,NA,NA,0,3.2
102,8,13,Male,1,2,,,NA,NA,NA,NA,NA,0,0,7,3,NA,6,7,3,2,4.7,4,4,3,4,1,3,3.2,6,6,4,5,4,5,4.7,3.2,5,NA,NA,0,4.4
103,8,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,5,5,7,7,5,6,4,5.6,6,5,3,6,4,4,4.7,5,4,5,6,4,4.8,5.6,4.7,4.8,NA,NA,0,5
104,7,14,Male,0,0,0,0,0,0,0,0,0,1,1,7,1,5,7,1,7,5,4.7,7,5,4,7,7,5,5.8,NA,NA,NA,NA,NA,NA,4.7,5.8,3.68623853211009,0,0,1,4.2
105,7,13,Female,0,0,0,0,0,0,0,0,0,1,1,5,4,3,3,5,7,7,4.9,6,6,5,6,7,7,6.2,5,6,6,7,7,6.2,4.9,6.2,6.2,0,0,1,5.6
106,8,14,Male,0,0,,,NA,NA,NA,NA,0,1,1,7,1,7,1,1,1,1,2.7,1,1,1,1,7,1,2,7,7,7,7,7,7,2.7,2,7,0,0,1,2.2
107,7,13,Male,0,0,0,0,0,0,0,0,0,1,1,2,2,6,5,3,2,2,3.1,2,2,2,2,2,2,2,2,2,2,2,2,2,3.1,2,2,0,0,1,2.2
108,7,13,Male,0,0,0,0,0,0,0,0,0,1,1,3,2,1,2,2,1,2,1.9,2,3,2,2,2,2,2.2,7,3,5,3,2,4,1.9,2.2,4,0,0,1,2
109,8,14,Male,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,1,3,3,3,3,2.7,2,2,3,3,2,2.4,2,2.7,2.4,0,0,1,2
110,7,13,Male,0,0,0,0,0,0,0,0,0,1,1,4,3,5,4,3,4,5,4,5,4,4,5,4,4,4.3,5,5,5,5,4,4.8,4,4.3,4.8,0,0,1,3.8
111,8,14,Female,0,0,0,0,0,0,0,0,0,1,1,3,2,6,6,1,4,1,3.3,1,7,3,7,7,4,4.8,3,7,7,7,7,6.2,3.3,4.8,6.2,0,0,1,2.2
112,8,13,Female,0,0,0,0,0,0,0,0,0,1,1,6,7,NA,NA,6,6,6,6.2,7,7,4,6,4,6,5.7,7,7,7,7,7,7,6.2,5.7,7,0,0,1,6.2
113,8,13,Male,0,0,0,0,0,0,0,0,0,1,1,2,3,7,2,1,1,1,2.4,2,1,1,1,1,1,1.2,5,4,4,4,4,4.2,2.4,1.2,4.2,0,0,1,1.6
114,7,13,Female,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
115,7,13,Male,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1,1,1,1,1.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1,1,0,0,1,1.6
116,7,13,Female,0,0,0,0,0,0,0,0,0,1,1,6,1,1,7,5,1,1,3.1,6,1,1,5,7,1,3.5,4,1,3,1,2,2.2,3.1,3.5,2.2,0,0,1,2.8
117,6,13,Male,1,3,0,0,0,0,0,0,0,1,1,7,7,7,7,7,4,1,5.7,4,4,4,4,7,7,5,7,4,7,7,7,6.4,5.7,5,6.4,0,0,1,5.2
118,7,13,Female,1,1,0,0,0,0,0,0,0,1,1,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7,1,1,0,0,1,1
119,7,13,Male,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
120,7,12,Male,1,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,3,5,2.8,3.53004484304933,3.20405405405405,2.8,0,0,1,NA
121,7,12,Male,1,1,0,0,0,0,0,0,0,1,1,5,4,5,6,5,7,5,5.3,1,1,1,1,1,1,1,3,3,4,5,5,4,5.3,1,4,0,0,1,5.2
122,7,12,Male,1,3,Y,Y,0,1,1,1,1,1,1,4,67,4,3,3,4,3,2,3,3.1,6,2,4,5,3,2,3.7,6,7,5,6,2,3,6,0,0,1,4
123,7,13,Male,1,2,Y,Y,1,0,1,1,1,1,1,4,67,6,6,6,6,6,6,6,6,5,4,5,5,3,4,4.3,5,5,4,5,6,3,5,0,0,1,5.6
124,7,13,Male,1,2,0,0,0,0,0,0,0,1,1,6,6,3,2,4,4,5,4.3,4,4,4,3,2,2,3.2,5,5,6,6,6,5.6,4.3,3.2,5.6,0,0,1,5
125,7,13,Female,1,1,0,0,0,0,0,0,0,1,1,2,1,NA,1,1,2,1,1.3,4,3,1,3,2,4,2.8,2,1,2,4,1,2,1.3,2.8,2,0,0,1,1.4
126,7,13,Female,1,1,0,0,0,0,0,0,0,1,1,3,3,7,7,3,3,3,4.1,3,3,3,3,7,7,4.3,7,3,7,7,7,6.2,4.1,4.3,6.2,0,0,1,3
127,7,13,Female,1,1,0,0,0,0,0,0,0,1,1,4,4,4,6,1,1,1,3,2,1,1,5,2,6,2.8,4,2,2,1,3,2.4,3,2.8,2.4,0,0,1,2.2
128,7,13,Female,1,1,0,0,0,0,0,0,0,1,1,3,3,2,2,3,4,2,2.7,4,3,2,3,1,3,2.7,6,5,5,6,2,4.8,2.7,2.7,4.8,0,0,1,3
