Grade,Age,Gender,Programming,Programing Extent,Father Ed.,Mother Ed.,Computer Home,Internet Home,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean
6,11,M,Y,Some,,,Y,Y,,,,,,,0,0,6,6,2,2,5,4,3,4.0,7,1,2,3,4,5,3.7,5,7,7,6,7,6.4
6,11,M,Y,Some,,,Y,Y,,,,,,,0,0,3,3,6,5,3,4,2,3.7,3,3,1,1,1,2,1.8,4,2,2,2,2,2.4
6,11,M,Y,A little bit,College,MA,Y,Y,,,,,,,0,0,3,1,5,7,1,1,1,2.7,4,2,3,5,2,1,2.8,4,4,5,5,4,4.4
6,12,F,Y,Some,College,College,Y,Y,,,,,,,0,0,3,1,1,1,2,1,1,1.4,4,2,1,3,2,3,2.5,1,2,1,4,2,2
6,11,F,Y,Some,College,College,Y,Y,,,,,,,0,0,3,1,1,1,4,3,2,2.1,4,1,1,7,5,1,3.2,4,1,1,4,3,2.6
6,12,M,Y,A lot,College,College,Y,Y,,,,,,,0,0,7,7,7,7,7,7,7,7.0,7,7,7,7,7,7,7.0,7,7,7,7,5,6.6
6,12,F,Y,A little bit,,,Y,,,,,,,,0,0,3,3,7,4,5,3,5,4.3,2,4,2,5,3,7,3.8,4,6,5,3,6,4.8
7,14,F,Y,A little bit,High School,High School,Y,Y,,,,,,,0,0,3,3,7,7,3,3,7,4.7,3,3,1,3,1,3,2.3,3,7,3,5,3,4.2
6,12,M,Y,A little bit,,,Y,Y,,,,,,,0,0,3,1,5,7,4,2,1,3.3,1,1,2,1,2,3,1.7,2,2,1,6,7,3.6
6,12,M,Y,Some,College,College,Y,Y,,,,,,,0,0,4,6,7,5,1,5,2,4.3,3,3,,5,5,4,4.0,3,2,4,4,3,3.2
6,11,,Y,Some,,College,Y,Y,,,,,,,0,0,5,7,7,7,5,6,4,5.9,3,5,4,5,7,6,5.0,5,3,5,4,5,4.4
6,12,M,Y,Some,HS,HS,Y,Y,,,,,,,0,0,1,1,1,7,1,1,1,1.9,1,1,7,1,1,1,2.0,7,5,7,7,1,5.4
6,13,M,Y,Some,techical,College,Y,Y,,,,,,,0,0,7,5,3,3,7,4,7,5.1,4,7,1,1,1,1,2.5,1,,1,4,1,1.75
6,12,M,Y,Some,techical,College,Y,Y,,,,,,,0,0,3,2,1,1,1,2,1,1.6,,,,,,,,1,1,1,1,1,1
6,12,M,Y,Some,College,College,Y,Y,,,,,,,0,0,4,4,6,6,4,7,4,5.0,4,4,4,4,4,3,3.8,7,7,7,7,7,7
6,11,M,Y,Some,College,MA,Y,Y,,,,,,,0,0,6,5,5,5,5,4,4,4.9,7,5,,7,2,5,5.2,6,4,6,5,4,5
6,11,M,Y,A lot,PHD,PHD,Y,Y,,,,,,,0,0,7,7,7,7,7,7,7,7.0,6,5,7,6,6,6,6.0,7,6,7,7,6,6.6
6,11,M,Y,Some,College,College,Y,Y,,,,,,,0,0,7,4,6,7,5,5,5,5.6,2,6,5,7,6,7,5.5,7,6,6,4,3,5.2
6,11,F,Y,A little bit,College,C,Y,Y,,,,,,,0,0,4,2,2,2,1,6,1,2.6,5,1,2,3,2,1,2.3,1,3,2,3,1,2
6,12,F,Y,A little bit,HS,College,Y,Y,,,,,,,0,0,5,1,5,6,6,2,1,3.7,2,1,4,7,3,2,3.2,7,2,4,3,3,3.8
6,11,M,Y,Some,,,N,N,,,,,,,0,0,3,5,4,4,6,5,3,4.3,2,5,3,4,3,3,3.3,3,1,5,7,5,4.2
6,13,M,Y,A little bit,,,Y,N,,,,,,,0,0,7,4,4,7,5,3,4,4.9,2,1,4,1,4,3,2.5,4,4,3,6,2,3.8
6,11,F,Y,Some,Phd,phd,Y,Y,,,,,,,0,0,1,1,1,2,1,1,1,1.1,1,2,1,1,1,1,1.2,3,2,2,1,2,2
8,13,F,Y,A lot,HS,RN,Y,Y,,,,,,,0,0,7,7,7,7,6,6,4,6.3,4,6,5,7,6,6,5.7,4,6,6,6,6,5.6
6,12,F,Y,Some,,,Y,Y,,,,,,,0,0,3,5,7,7,6,4,7,5.6,3,5,6,4,2,5,4.2,5,2,7,3,6,4.6
8,13,F,Y,Some,College,College,Y,Y,,,,,,,0,0,3,2,3,3,2,1,1,2.1,5,,2,4,2,1,2.8,4,3,4,3,3,3.4
8,13,F,Y,A little bit,HS,RN,Y,Y,,,,,,,0,0,2,2,2,2,2,2,2,2.0,5,4,4,4,3,4,4.0,2,1,4,3,2,2.4
8,14,F,Y,A little bit,,,N,Y,,,,,,,0,0,2,2,1,2,5,2,2,2.3,2,2,2,2,2,2,2.0,2,2,2,2,2,2
8,15,M,Y,A lot,HS,College,Y,Y,,,,,,,0,0,6,4,7,7,5,6,5,5.7,7,4,5,4,4,5,4.8,7,4,7,7,4,5.8
8,14,F,Y,Some,HS,College,Y,Y,,,,,,,0,0,6,7,6,7,5,7,7,6.4,7,5,5,7,2,7,5.5,5,3,4,4,4,4
8,14,M,Y,A little bit,College,College,N,Y,,,,,,,0,0,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,2,1,1,2,1,1.4
8,14,M,Y,A little bit,College,College,N,N,,,,,,,0,0,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1
8,13,M,Y,A little bit,HS,HS,Y,Y,,,,,,,0,0,5,5,5,3,5,5,3,4.4,7,5,3,6,6,5,5.3,5,4,5,6,4,4.8
8,14,M,Y,A little bit,HS,College,Y,Y,,,,,,,0,0,4,4,4,4,4,4,4,4.0,4,4,4,4,4,4,4.0,4,4,4,4,4,4
8,13,M,Y,Some,HS,HS,Y,Y,,,,,,,0,0,4,4,5,5,3,3,3,3.9,3,2,2,1,1,1,1.7,5,5,6,6,6,5.6
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,4,3,2,2,2,2,2,2.4,5,1,2,3,2,2,2.5,1,1,1,2,2,1.4
8,14,F,Y,A little bit,HS,MA,N,Y,,,,,,,0,0,4,4,4,4,4,4,4,4.0,4,4,4,4,4,4,4.0,6,6,6,6,6,6
8,15,F,Y,A little bit,HS,RN,Y,Y,,,,,,,0,0,3,4,4,4,5,5,5,4.3,5,3,2,4,5,6,4.2,7,6,6,5,2,5.2
8,13,F,Y,A little bit,,College,Y,Y,,,,,,,0,0,2,1,1,1,1,1,1,1.1,4,5,1,4,1,3,3.0,4,2,6,4,3,3.8
8,14,F,Y,A little bit,HS,MA,N,Y,,,,,,,0,0,4,4,4,4,4,4,4,4.0,4,2,2,2,2,2,2.3,3,3,3,3,3,3
8,15,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,4,2,2,4,2,3,1,2.6,5,1,1,2,1,2,2.0,3,1,2,2,4,2.4
8,14,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,2,2,2,2,1,2,1,1.7,1,1,1,1,1,1,1.0,1,1,1,1,1,1
8,14,M,Y,A little bit,HS ,College,Y,Y,,,,,,,0,0,5,5,7,7,5,4,3,5.1,4,3,5,4,3,4,3.8,2,2,3,2,4,2.6
8,13,F,Y,A lot,HS,College,,,,,,,,,0,0,5,6,6,6,5,6,5,5.6,6,6,6,6,5,6,5.8,5,6,6,6,6,5.8
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,6,7,7,7,6,6,6,6.4,6,4,5,5,3,5,4.7,5,5,5,5,5,5
8,14,F,Y,A little bit,College,College,N,Y,,,,,,,0,0,3,3,1,1,1,7,5,3.0,5,7,6,4,3,4,4.8,3,7,6,5,4,5
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,1,4,1,5,2,4,1,2.6,5,2,2,6,2,2,3.2,1,1,5,5,1,2.6
8,13,M,Y,A little bit,HS,,N,Y,,,,,,,0,0,1,1,1,1,1,1,1,1.0,2,1,1,1,1,1,1.2,7,7,7,7,7,7
8,14,M,Y,Some,,College,Y,Y,,,,,,,0,0,4,4,4,4,4,6,1,3.9,4,4,4,4,5,4,4.2,6,5,7,4,4,5.2
8,14,M,Y,Some,,,Y,Y,,,,,,,0,0,4,3,7,3,4,3,5,4.1,3,5,6,3,2,7,4.3,3,5,3,4,5,4
8,13,M,Y,Some,,,N,Y,,,,,,,0,0,1,1,1,,1,2,1,1.2,3,2,2,4,2,4,2.8,4,3,2,3,4,3.2
8,13,M,Y,A little bit,,College,N,Y,,,,,,,0,0,1,1,7,1,1,1,2,2.0,1,1,1,2,1,1,1.2,2,1,1,1,1,1.2
8,13,F,Y,A little bit,HS,College,Y,Y,,,,,,,0,0,2,2,1,1,2,1,1,1.4,4,2,1,2,2,2,2.2,2,1,2,2,1,1.6
8,14,M,Y,A little bit,College,HS,N,Y,,,,,,,0,0,1,1,6,7,1,3,1,2.9,1,1,1,1,1,1,1.0,1,1,1,1,1,1
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,2,2,1,4,2,2,2,2.1,4,3,3,4,4,3,3.5,4,4,1,3,3,3
8,14,M,N,,HS,College,Y,Y,,,,,,,0,0,7,1,7,1,1,1,1,2.7,1,1,1,1,7,1,2.0,7,7,7,7,7,7
8,14,F,Y,Some,,,Y,Y,,,,,,,0,0,1,1,2,2,1,1,1,1.3,4,3,1,1,3,4,2.7,2,1,2,3,2,2
8,14,F,Y,Some,HS,College,Y,Y,,,,,,,0,0,1,1,1,1,1,1,1,1.0,4,1,1,1,1,1,1.5,1,1,1,1,1,1
8,13,M,Y,A little bit,MA,,Y,Y,,,,,,,0,0,3,3,1,2,2,2,2,2.1,5,1,2,1,2,1,2.0,7,1,2,3,2,3
8,14,M,Y,Some,MA,,Y,Y,,,,,,,0,0,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,7,7,7,7,7,7
8,13,F,Y,A little bit,College,HS,N,Y,,,,,,,0,0,2,2,1,5,2,2,2,2.3,4,2,2,4,5,2,3.2,4,3,4,4,2,3.4
